Company Name,Industry,Symbol,Series,ISIN Code
Polycab India Ltd.,capgoods,POLYCAB,EQ,INE455K01017
KEI Industries Ltd.,capgoods,KEI,EQ,INE878B01027
Havells India Ltd.,capgoods,HAVELLS,EQ,INE176B01034
Bajaj Electricals Ltd.,capgoods,BAJAJELEC,EQ,INE193E01025
Crompton Greaves Consumer Electricals Ltd.,capgoods,CROMPTON,EQ,INE299U01018
Adani Enterprises Ltd.,infra,ADANIENT,EQ,INE423A01024
Adani Total Gas Ltd.,energy,ATGL,EQ,INE399L01023
Adani Wilmar Ltd.,fmcg,AWL,EQ,INE699H01024
LIC of India,insurance,LICI,EQ,INE0J1Y01017
One 97 Communications Ltd. (Paytm),it,PAYTM,EQ,INE982J01020
Zomato Ltd.,it,ZOMATO,EQ,INE758T01015
FSN E-Commerce Ventures Ltd. (Nykaa),retail,NYKAA,EQ,INE388Y01029
PB Fintech Ltd. (Policybazaar),insurance,POLICYBZR,EQ,INE417T01026
CarTrade Tech Ltd.,it,CARTRADE,EQ,INE03JT01014
Mankind Pharma Ltd.,pharma,MANKIND,EQ,INE634S01028
Glenmark Life Sciences Ltd.,pharma,GLS,EQ,INE03Q201024
Indian Railway Finance Corp Ltd.,nbfc,IRFC,EQ,INE053F01010
Mazagon Dock Shipbuilders Ltd.,defence,MAZDOCK,EQ,INE249Z01020
Tata Technologies Ltd.,it,TATATECH,EQ,INE142M01025
Coforge Ltd.,it,COFORGE,EQ,INE591G01017
LTIMindtree Ltd.,it,LTIM,EQ,INE214T01019
Mphasis Ltd.,it,MPHASIS,EQ,INE356A01018
KPIT Technologies Ltd.,it,KPITTECH,EQ,INE04I401011
Tata Elxsi Ltd.,it,TATAELXSI,EQ,INE670A01012
Persistent Systems Ltd.,it,PERSISTENT,EQ,INE262H01013
Happiest Minds Technologies Ltd.,it,HAPPSTMNDS,EQ,INE419U01012
Newgen Software Technologies Ltd.,it,NEWGEN,EQ,INE619B01017
Birlasoft Ltd.,it,BSOFT,EQ,INE836A01035
Sonata Software Ltd.,it,SONATSOFTW,EQ,INE269A01021
MTAR Technologies Ltd.,defence,MTARTECH,EQ,INE864I01014
Data Patterns India Ltd.,defence,DATAPATTNS,EQ,INE0IX101010
Astra Microwave Products Ltd.,defence,ASTRAMICRO,EQ,INE386C01029
Paras Defence and Space Technologies Ltd.,defence,PARAS,EQ,INE0BWX01014
Apar Industries Ltd.,capgoods,APARINDS,EQ,INE372A01015
Suzlon Energy Ltd.,renewables,SUZLON,EQ,INE040H01021
Inox Wind Ltd.,renewables,INOXWIND,EQ,INE066P01011
Adani Green Energy Ltd.,renewables,ADANIGREEN,EQ,INE364U01010
ReNew Energy Global Ltd.,renewables,RENEW,EQ,US7596883036
Olectra Greentech Ltd.,ev,OLECTRA,EQ,INE260D01016
HBL Power Systems Ltd.,capgoods,HBLPOWER,EQ,INE292B01021
Exide Industries Ltd.,auto,EXIDEIND,EQ,INE302A01020
Amara Raja Energy & Mobility Ltd.,auto,ARE&M,EQ,INE885A01032
Sona BLW Precision Forgings Ltd.,auto,SONACOMS,EQ,INE073K01018
Uno Minda Ltd.,auto,UNOMINDA,EQ,INE405E01023
Bosch Ltd.,auto,BOSCHLTD,EQ,INE323A01026
Samvardhana Motherson International Ltd.,auto,MOTHERSON,EQ,INE775A01035
Endurance Technologies Ltd.,auto,ENDURANCE,EQ,INE913H01037
Schaeffler India Ltd.,auto,SCHAEFFLER,EQ,INE513A01014
Tube Investments of India Ltd.,auto,TIINDIA,EQ,INE974X01010
CG Power and Industrial Solutions Ltd.,capgoods,CGPOWER,EQ,INE067A01029
Siemens Energy India Ltd.,capgoods,SIEMENS,EQ,INE003A01024
ABB India Ltd.,capgoods,ABB,EQ,INE117A01022
Larsen & Toubro Ltd.,infra,LT,EQ,INE018A01030
GMR Airports Infrastructure Ltd.,infra,GMRAIRPORT,EQ,INE776C01039
PNC Infratech Ltd.,infra,PNCINFRA,EQ,INE195J01029
KNR Constructions Ltd.,infra,KNRCON,EQ,INE634I01029
Rail Vikas Nigam Ltd.,infra,RVNL,EQ,INE415G01027
RITES Ltd.,infra,RITES,EQ,INE320J01015
IRCON International Ltd.,infra,IRCON,EQ,INE962Y01013
NBCC India Ltd.,infra,NBCC,EQ,INE095N01031
Macrotech Developers Ltd. (Lodha),realestate,LODHA,EQ,INE670K01029
DLF Ltd.,realestate,DLF,EQ,INE271C01023
Godrej Properties Ltd.,realestate,GODREJPROP,EQ,INE484J01027
Oberoi Realty Ltd.,realestate,OBEROIRLTY,EQ,INE093I01010
Phoenix Mills Ltd.,realestate,PHOENIXLTD,EQ,INE211B01039
